window_id,truth,detector,score,threshold
ec2_cpu_utilization_c6585a:2419:2435,0,autoencoder@0.95,0.30971473,0.787150502204895
ec2_cpu_utilization_c6585a:2427:2443,0,autoencoder@0.95,0.21975446,0.787150502204895
ec2_cpu_utilization_c6585a:2435:2451,0,autoencoder@0.95,0.11839929,0.787150502204895
ec2_cpu_utilization_c6585a:2443:2459,0,autoencoder@0.95,0.301124,0.787150502204895
ec2_cpu_utilization_c6585a:2451:2467,0,autoencoder@0.95,83.33931,0.787150502204895
ec2_cpu_utilization_c6585a:2459:2475,0,autoencoder@0.95,83.14748,0.787150502204895
ec2_cpu_utilization_c6585a:2467:2483,0,autoencoder@0.95,0.22288975,0.787150502204895
ec2_cpu_utilization_c6585a:2475:2491,0,autoencoder@0.95,0.08484395,0.787150502204895
ec2_cpu_utilization_c6585a:2483:2499,0,autoencoder@0.95,0.110832065,0.787150502204895
ec2_cpu_utilization_c6585a:2491:2507,0,autoencoder@0.95,0.12495449,0.787150502204895
ec2_cpu_utilization_c6585a:2499:2515,0,autoencoder@0.95,0.12787105,0.787150502204895
ec2_cpu_utilization_c6585a:2507:2523,0,autoencoder@0.95,0.29848838,0.787150502204895
ec2_cpu_utilization_c6585a:2515:2531,0,autoencoder@0.95,0.24204352,0.787150502204895
ec2_cpu_utilization_c6585a:2523:2539,0,autoencoder@0.95,0.237398,0.787150502204895
ec2_cpu_utilization_c6585a:2531:2547,0,autoencoder@0.95,0.21932437,0.787150502204895
ec2_cpu_utilization_c6585a:2539:2555,0,autoencoder@0.95,0.11980338,0.787150502204895
ec2_cpu_utilization_c6585a:2547:2563,0,autoencoder@0.95,0.13176861,0.787150502204895
ec2_cpu_utilization_c6585a:2555:2571,0,autoencoder@0.95,0.29513532,0.787150502204895
ec2_cpu_utilization_c6585a:2563:2579,0,autoencoder@0.95,0.23570961,0.787150502204895
ec2_cpu_utilization_c6585a:2571:2587,0,autoencoder@0.95,0.086842954,0.787150502204895
ec2_cpu_utilization_c6585a:2579:2595,0,autoencoder@0.95,0.27121103,0.787150502204895
ec2_cpu_utilization_c6585a:2587:2603,0,autoencoder@0.95,0.20715287,0.787150502204895
ec2_cpu_utilization_c6585a:2595:2611,0,autoencoder@0.95,0.11675593,0.787150502204895
ec2_cpu_utilization_c6585a:2603:2619,0,autoencoder@0.95,0.20736267,0.787150502204895
ec2_cpu_utilization_c6585a:2611:2627,0,autoencoder@0.95,0.26233116,0.787150502204895
ec2_cpu_utilization_c6585a:2619:2635,0,autoencoder@0.95,0.23801538,0.787150502204895
ec2_cpu_utilization_c6585a:2627:2643,0,autoencoder@0.95,0.20217131,0.787150502204895
ec2_cpu_utilization_c6585a:2635:2651,0,autoencoder@0.95,0.20859465,0.787150502204895
ec2_cpu_utilization_c6585a:2643:2659,0,autoencoder@0.95,0.17585416,0.787150502204895
ec2_cpu_utilization_c6585a:2651:2667,0,autoencoder@0.95,0.2188078,0.787150502204895
ec2_cpu_utilization_c6585a:2659:2675,0,autoencoder@0.95,0.10226554,0.787150502204895
ec2_cpu_utilization_c6585a:2667:2683,0,autoencoder@0.95,0.1158275,0.787150502204895
ec2_cpu_utilization_c6585a:2675:2691,0,autoencoder@0.95,0.11423691,0.787150502204895
ec2_cpu_utilization_c6585a:2683:2699,0,autoencoder@0.95,0.12965006,0.787150502204895
ec2_cpu_utilization_c6585a:2691:2707,0,autoencoder@0.95,0.25092214,0.787150502204895
ec2_cpu_utilization_c6585a:2699:2715,0,autoencoder@0.95,0.37457043,0.787150502204895
ec2_cpu_utilization_c6585a:2707:2723,0,autoencoder@0.95,0.21456507,0.787150502204895
ec2_cpu_utilization_c6585a:2715:2731,0,autoencoder@0.95,0.30898327,0.787150502204895
ec2_cpu_utilization_c6585a:2723:2739,0,autoencoder@0.95,0.35075387,0.787150502204895
ec2_cpu_utilization_c6585a:2731:2747,0,autoencoder@0.95,9.0896225,0.787150502204895
ec2_cpu_utilization_c6585a:2739:2755,0,autoencoder@0.95,8.129854,0.787150502204895
ec2_cpu_utilization_c6585a:2747:2763,0,autoencoder@0.95,0.115806304,0.787150502204895
ec2_cpu_utilization_c6585a:2755:2771,0,autoencoder@0.95,0.12669289,0.787150502204895
ec2_cpu_utilization_c6585a:2763:2779,0,autoencoder@0.95,0.17100531,0.787150502204895
ec2_cpu_utilization_c6585a:2771:2787,0,autoencoder@0.95,0.17582013,0.787150502204895
ec2_cpu_utilization_c6585a:2779:2795,0,autoencoder@0.95,0.75669765,0.787150502204895
ec2_cpu_utilization_c6585a:2787:2803,0,autoencoder@0.95,0.70400286,0.787150502204895
ec2_cpu_utilization_c6585a:2795:2811,0,autoencoder@0.95,0.21791701,0.787150502204895
ec2_cpu_utilization_c6585a:2803:2819,0,autoencoder@0.95,0.11705743,0.787150502204895
ec2_cpu_utilization_c6585a:2811:2827,0,autoencoder@0.95,0.2391273,0.787150502204895
ec2_cpu_utilization_c6585a:2819:2835,0,autoencoder@0.95,0.19197886,0.787150502204895
ec2_cpu_utilization_c6585a:2827:2843,0,autoencoder@0.95,0.21484843,0.787150502204895
ec2_cpu_utilization_c6585a:2835:2851,0,autoencoder@0.95,0.3578761,0.787150502204895
ec2_cpu_utilization_c6585a:2843:2859,0,autoencoder@0.95,0.2220412,0.787150502204895
ec2_cpu_utilization_c6585a:2851:2867,0,autoencoder@0.95,0.14117934,0.787150502204895
ec2_cpu_utilization_c6585a:2859:2875,0,autoencoder@0.95,0.22015403,0.787150502204895
ec2_cpu_utilization_c6585a:2867:2883,0,autoencoder@0.95,0.20095018,0.787150502204895
ec2_cpu_utilization_c6585a:2875:2891,0,autoencoder@0.95,0.11784714,0.787150502204895
ec2_cpu_utilization_c6585a:2883:2899,0,autoencoder@0.95,0.22688183,0.787150502204895
ec2_cpu_utilization_c6585a:2891:2907,0,autoencoder@0.95,0.280466,0.787150502204895
ec2_cpu_utilization_c6585a:2899:2915,0,autoencoder@0.95,0.2183497,0.787150502204895
ec2_cpu_utilization_c6585a:2907:2923,0,autoencoder@0.95,0.28368652,0.787150502204895
ec2_cpu_utilization_c6585a:2915:2931,0,autoencoder@0.95,0.24985483,0.787150502204895
ec2_cpu_utilization_c6585a:2923:2939,0,autoencoder@0.95,0.2357545,0.787150502204895
ec2_cpu_utilization_c6585a:2931:2947,0,autoencoder@0.95,0.1265853,0.787150502204895
ec2_cpu_utilization_c6585a:2939:2955,0,autoencoder@0.95,0.27795357,0.787150502204895
ec2_cpu_utilization_c6585a:2947:2963,0,autoencoder@0.95,0.22493407,0.787150502204895
ec2_cpu_utilization_c6585a:2955:2971,0,autoencoder@0.95,0.12455404,0.787150502204895
ec2_cpu_utilization_c6585a:2963:2979,0,autoencoder@0.95,0.2815261,0.787150502204895
ec2_cpu_utilization_c6585a:2971:2987,0,autoencoder@0.95,0.23742378,0.787150502204895
ec2_cpu_utilization_c6585a:2979:2995,0,autoencoder@0.95,0.22967373,0.787150502204895
ec2_cpu_utilization_c6585a:2987:3003,0,autoencoder@0.95,0.2130029,0.787150502204895
ec2_cpu_utilization_c6585a:2995:3011,0,autoencoder@0.95,0.15125054,0.787150502204895
ec2_cpu_utilization_c6585a:3003:3019,0,autoencoder@0.95,0.25912583,0.787150502204895
ec2_cpu_utilization_c6585a:3011:3027,0,autoencoder@0.95,0.30107078,0.787150502204895
ec2_cpu_utilization_c6585a:3019:3035,0,autoencoder@0.95,0.2177466,0.787150502204895
ec2_cpu_utilization_c6585a:3027:3043,0,autoencoder@0.95,0.2874563,0.787150502204895
ec2_cpu_utilization_c6585a:3035:3051,0,autoencoder@0.95,8.57282,0.787150502204895
ec2_cpu_utilization_c6585a:3043:3059,0,autoencoder@0.95,9.094524,0.787150502204895
ec2_cpu_utilization_c6585a:3051:3067,0,autoencoder@0.95,0.23630029,0.787150502204895
ec2_cpu_utilization_c6585a:3059:3075,0,autoencoder@0.95,0.2111437,0.787150502204895
ec2_cpu_utilization_c6585a:3067:3083,0,autoencoder@0.95,0.31853026,0.787150502204895
ec2_cpu_utilization_c6585a:3075:3091,0,autoencoder@0.95,0.23187983,0.787150502204895
ec2_cpu_utilization_c6585a:3083:3099,0,autoencoder@0.95,0.24753445,0.787150502204895
ec2_cpu_utilization_c6585a:3091:3107,0,autoencoder@0.95,0.27689463,0.787150502204895
ec2_cpu_utilization_c6585a:3099:3115,0,autoencoder@0.95,0.12178603,0.787150502204895
ec2_cpu_utilization_c6585a:3107:3123,0,autoencoder@0.95,0.21549332,0.787150502204895
ec2_cpu_utilization_c6585a:3115:3131,0,autoencoder@0.95,0.25895795,0.787150502204895
ec2_cpu_utilization_c6585a:3123:3139,0,autoencoder@0.95,0.22983894,0.787150502204895
ec2_cpu_utilization_c6585a:3131:3147,0,autoencoder@0.95,0.19574712,0.787150502204895
ec2_cpu_utilization_c6585a:3139:3155,0,autoencoder@0.95,0.77598614,0.787150502204895
ec2_cpu_utilization_c6585a:3147:3163,0,autoencoder@0.95,0.68086356,0.787150502204895
ec2_cpu_utilization_c6585a:3155:3171,0,autoencoder@0.95,0.27933258,0.787150502204895
ec2_cpu_utilization_c6585a:3163:3179,0,autoencoder@0.95,0.23368913,0.787150502204895
ec2_cpu_utilization_c6585a:3171:3187,0,autoencoder@0.95,0.25814736,0.787150502204895
ec2_cpu_utilization_c6585a:3179:3195,0,autoencoder@0.95,0.2985148,0.787150502204895
ec2_cpu_utilization_c6585a:3187:3203,0,autoencoder@0.95,0.20811982,0.787150502204895
ec2_cpu_utilization_c6585a:3195:3211,0,autoencoder@0.95,0.23696227,0.787150502204895
ec2_cpu_utilization_c6585a:3203:3219,0,autoencoder@0.95,0.28609246,0.787150502204895
ec2_cpu_utilization_c6585a:2419:2435,0,autoencoder@0.975,0.30971473,8.499129295349121
ec2_cpu_utilization_c6585a:2427:2443,0,autoencoder@0.975,0.21975446,8.499129295349121
ec2_cpu_utilization_c6585a:2435:2451,0,autoencoder@0.975,0.11839929,8.499129295349121
ec2_cpu_utilization_c6585a:2443:2459,0,autoencoder@0.975,0.301124,8.499129295349121
ec2_cpu_utilization_c6585a:2451:2467,0,autoencoder@0.975,83.33931,8.499129295349121
ec2_cpu_utilization_c6585a:2459:2475,0,autoencoder@0.975,83.14748,8.499129295349121
ec2_cpu_utilization_c6585a:2467:2483,0,autoencoder@0.975,0.22288975,8.499129295349121
ec2_cpu_utilization_c6585a:2475:2491,0,autoencoder@0.975,0.08484395,8.499129295349121
ec2_cpu_utilization_c6585a:2483:2499,0,autoencoder@0.975,0.110832065,8.499129295349121
ec2_cpu_utilization_c6585a:2491:2507,0,autoencoder@0.975,0.12495449,8.499129295349121
ec2_cpu_utilization_c6585a:2499:2515,0,autoencoder@0.975,0.12787105,8.499129295349121
ec2_cpu_utilization_c6585a:2507:2523,0,autoencoder@0.975,0.29848838,8.499129295349121
ec2_cpu_utilization_c6585a:2515:2531,0,autoencoder@0.975,0.24204352,8.499129295349121
