window_id,truth,detector,score,threshold
iio_us-east-1_i-a2eb1cd9_NetworkIn:745:761,0,autoencoder@0.95,0.01664997,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:753:769,0,autoencoder@0.95,0.018174928,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:761:777,0,autoencoder@0.95,0.028413657,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:769:785,0,autoencoder@0.95,0.04721878,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:777:793,0,autoencoder@0.95,0.035519745,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:785:801,0,autoencoder@0.95,0.019591888,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:793:809,0,autoencoder@0.95,0.016715264,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:801:817,0,autoencoder@0.95,0.020059645,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:809:825,0,autoencoder@0.95,0.020672962,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:817:833,0,autoencoder@0.95,0.011116042,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:825:841,0,autoencoder@0.95,0.010532429,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:833:849,0,autoencoder@0.95,0.016349953,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:841:857,0,autoencoder@0.95,0.03459036,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:849:865,0,autoencoder@0.95,0.031410288,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:857:873,0,autoencoder@0.95,0.011557886,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:865:881,0,autoencoder@0.95,0.024226239,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:873:889,0,autoencoder@0.95,0.018676326,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:881:897,0,autoencoder@0.95,0.01419896,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:889:905,0,autoencoder@0.95,0.029611308,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:897:913,0,autoencoder@0.95,0.022388823,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:905:921,0,autoencoder@0.95,0.015247372,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:913:929,0,autoencoder@0.95,0.04690116,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:921:937,0,autoencoder@0.95,0.028020056,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:929:945,0,autoencoder@0.95,0.007543956,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:937:953,0,autoencoder@0.95,0.0063758516,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:945:961,0,autoencoder@0.95,0.02364843,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:953:969,0,autoencoder@0.95,0.04294223,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:961:977,0,autoencoder@0.95,0.022150211,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:969:985,0,autoencoder@0.95,0.017655374,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:977:993,0,autoencoder@0.95,0.010446826,0.13107675313949585
iio_us-east-1_i-a2eb1cd9_NetworkIn:745:761,0,autoencoder@0.975,0.01664997,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:753:769,0,autoencoder@0.975,0.018174928,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:761:777,0,autoencoder@0.975,0.028413657,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:769:785,0,autoencoder@0.975,0.04721878,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:777:793,0,autoencoder@0.975,0.035519745,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:785:801,0,autoencoder@0.975,0.019591888,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:793:809,0,autoencoder@0.975,0.016715264,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:801:817,0,autoencoder@0.975,0.020059645,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:809:825,0,autoencoder@0.975,0.020672962,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:817:833,0,autoencoder@0.975,0.011116042,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:825:841,0,autoencoder@0.975,0.010532429,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:833:849,0,autoencoder@0.975,0.016349953,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:841:857,0,autoencoder@0.975,0.03459036,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:849:865,0,autoencoder@0.975,0.031410288,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:857:873,0,autoencoder@0.975,0.011557886,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:865:881,0,autoencoder@0.975,0.024226239,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:873:889,0,autoencoder@0.975,0.018676326,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:881:897,0,autoencoder@0.975,0.01419896,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:889:905,0,autoencoder@0.975,0.029611308,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:897:913,0,autoencoder@0.975,0.022388823,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:905:921,0,autoencoder@0.975,0.015247372,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:913:929,0,autoencoder@0.975,0.04690116,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:921:937,0,autoencoder@0.975,0.028020056,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:929:945,0,autoencoder@0.975,0.007543956,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:937:953,0,autoencoder@0.975,0.0063758516,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:945:961,0,autoencoder@0.975,0.02364843,0.13146644830703735
iio_us-east-1_i-a2eb1cd9_NetworkIn:953:969,0,autoencoder@0.975,0.04294223,0.13146644830703735
